Time,Suction pressure,Exhaust pressure,Motor temperature,Oil supply pressure,Outlet temperature
2021-01-02T19:52:10,186,114,136,130,534
2021-01-02T19:52:25,187,113,136,130,535
2021-01-02T19:52:39,186,114,136,130,535
2021-01-02T19:52:53,186,114,136,130,535
2021-01-02T19:53:07,186,113,136,130,535
2021-01-02T19:53:22,186,113,136,130,535
2021-01-02T19:53:36,186,113,136,130,535
2021-01-02T19:53:50,186,113,136,130,535
2021-01-02T19:54:05,186,113,136,130,535
2021-01-02T19:54:19,186,113,136,130,535
2021-01-02T19:54:33,186,113,136,130,535
2021-01-02T19:54:48,186,113,136,130,535
2021-01-02T19:55:03,186,113,136,130,535
2021-01-02T19:55:17,186,113,136,129,535
2021-01-02T19:55:31,186,113,136,129,534
2021-01-02T19:55:46,186,113,136,129,534
2021-01-02T19:56:00,186,113,136,129,534
2021-01-02T19:56:14,186,113,136,129,534
2021-01-02T19:56:28,186,113,136,129,534
2021-01-02T19:56:43,186,113,136,130,534
2021-01-02T19:56:57,185,113,135,129,534
2021-01-02T19:57:11,185,113,135,129,534
2021-01-02T19:57:26,185,112,135,129,534
2021-01-02T19:57:41,185,112,135,129,534
2021-01-02T19:57:55,185,112,135,128,534
2021-01-02T19:58:09,184,112,135,128,534
2021-01-02T19:58:24,184,112,135,128,534
2021-01-02T19:58:38,184,112,135,128,534
2021-01-02T19:58:52,184,111,135,128,535
2021-01-02T19:59:07,184,111,135,128,535
2021-01-02T19:59:21,183,111,135,128,535
2021-01-02T19:59:35,183,111,135,128,535
2021-01-02T19:59:49,183,111,135,127,535
2021-01-02T20:00:04,183,111,135,127,535
2021-01-02T20:00:18,182,110,135,127,535
2021-01-02T20:00:33,183,111,135,127,535
2021-01-02T20:00:47,183,111,135,127,535
2021-01-02T20:01:01,183,111,135,127,535
2021-01-02T20:01:15,183,111,135,127,535
2021-01-02T20:01:30,183,111,135,127,535
2021-01-02T20:01:44,183,111,135,127,535
2021-01-02T20:01:59,183,111,135,127,535
2021-01-02T20:02:13,183,110,135,127,535
2021-01-02T20:02:27,182,111,135,127,535
2021-01-02T20:02:41,182,110,135,127,535
2021-01-02T20:02:56,182,111,135,127,535
2021-01-02T20:03:10,182,110,135,127,535
2021-01-02T20:03:25,182,110,135,127,535
2021-01-02T20:03:39,182,110,135,127,535
2021-01-02T20:03:54,182,110,134,127,535
2021-01-02T20:04:08,182,110,134,127,535
2021-01-02T20:04:22,182,110,134,127,535
2021-01-02T20:04:37,182,110,134,127,535
2021-01-02T20:04:52,182,110,134,127,535
2021-01-02T20:05:06,182,110,134,127,535
2021-01-02T20:05:20,182,110,134,127,535
2021-01-02T20:05:34,182,110,134,127,535
2021-01-02T20:05:48,182,110,134,126,535
2021-01-02T20:06:02,182,110,134,126,535
2021-01-02T20:06:17,182,110,134,126,535
2021-01-02T20:06:32,182,109,134,126,535
2021-01-02T20:06:46,181,109,134,126,535
2021-01-02T20:07:00,181,109,134,126,535
2021-01-02T20:07:15,181,109,134,126,535
2021-01-02T20:07:29,181,109,134,126,535
2021-01-02T20:07:44,181,109,134,126,535
2021-01-02T20:07:58,181,109,134,126,535
2021-01-02T20:08:13,181,109,134,126,535
2021-01-02T20:08:27,181,109,134,126,535
2021-01-02T20:08:41,181,109,134,125,535
2021-01-02T20:08:55,181,109,134,126,535
2021-01-02T20:09:10,181,109,134,126,535
2021-01-02T20:09:25,181,109,134,125,535
2021-01-02T20:09:39,181,109,134,125,535
2021-01-02T20:09:53,180,109,134,125,535
2021-01-02T20:10:08,180,109,134,125,535
2021-01-02T20:10:22,180,108,134,125,535
2021-01-02T20:10:37,180,108,133,125,535
2021-01-02T20:10:51,180,109,133,125,535
2021-01-02T20:11:06,180,109,133,125,535
2021-01-02T20:11:20,180,109,133,125,535
2021-01-02T20:11:34,180,108,133,125,535
2021-01-02T20:11:48,180,108,133,125,535
2021-01-02T20:12:03,180,108,133,125,535
2021-01-02T20:12:17,180,108,133,125,535
2021-01-02T20:12:31,180,108,133,125,535
2021-01-02T20:12:46,180,108,133,125,535
2021-01-02T20:13:00,180,108,133,125,535
2021-01-02T20:13:14,180,108,133,125,535
2021-01-02T20:13:29,180,108,133,125,535
2021-01-02T20:13:43,180,108,133,125,535
2021-01-02T20:13:58,180,108,133,125,535
2021-01-02T20:14:12,179,108,133,125,535
2021-01-02T20:14:27,179,108,133,125,535
2021-01-02T20:14:41,179,108,133,125,535
2021-01-02T20:14:55,179,108,133,125,535
2021-01-02T20:15:09,179,108,133,125,535
2021-01-02T20:15:24,179,108,133,125,535
2021-01-02T20:15:38,179,108,133,125,535
2021-01-02T20:15:52,179,108,133,125,535
2021-01-02T20:16:07,179,108,133,125,535
2021-01-02T20:16:22,179,108,133,125,535
2021-01-02T20:16:36,179,108,133,124,535
2021-01-02T20:16:50,179,108,133,125,535
2021-01-02T20:17:05,179,108,132,125,535
2021-01-02T20:17:19,179,108,132,125,535
2021-01-02T20:17:33,179,108,132,125,535
2021-01-02T20:17:48,179,108,132,125,535
2021-01-02T20:18:02,179,108,132,125,535
2021-01-02T20:18:16,179,108,132,125,535
2021-01-02T20:18:31,179,108,132,125,535
2021-01-02T20:18:45,179,108,132,125,535
2021-01-02T20:18:59,179,108,132,125,535
2021-01-02T20:19:14,179,108,132,125,535
2021-01-02T20:19:28,179,108,132,125,535
2021-01-02T20:19:43,180,108,132,125,535
2021-01-02T20:19:57,179,108,132,125,535
2021-01-02T20:20:11,180,108,132,125,535
2021-01-02T20:20:26,180,108,132,125,535
2021-01-02T20:20:41,180,108,132,125,535
2021-01-02T20:20:55,180,108,132,125,535
2021-01-02T20:21:08,180,108,132,125,535
2021-01-02T20:21:23,180,108,132,125,535
2021-01-02T20:21:37,180,108,132,125,535
2021-01-02T20:21:51,180,108,132,125,535
2021-01-02T20:22:06,180,108,132,125,535
2021-01-02T20:22:21,180,108,132,125,535
2021-01-02T20:22:35,180,108,132,125,535
2021-01-02T20:22:49,180,108,132,125,535
2021-01-02T20:23:04,180,108,132,124,535
2021-01-02T20:23:18,180,108,132,124,535
2021-01-02T20:23:33,179,108,132,124,535
2021-01-02T20:23:47,179,108,132,125,535
2021-01-02T20:24:01,179,108,132,124,535
2021-01-02T20:24:15,179,108,131,124,535
2021-01-02T20:24:29,179,108,131,124,535
2021-01-02T20:24:43,179,108,131,124,535
2021-01-02T20:24:58,179,108,131,124,535
2021-01-02T20:25:12,179,108,131,124,535
2021-01-02T20:25:26,179,108,131,124,535
2021-01-02T20:25:41,179,108,131,124,535
2021-01-02T20:25:55,179,108,131,124,535
2021-01-02T20:26:09,179,108,131,124,535
2021-01-02T20:26:24,179,108,131,124,535
2021-01-02T20:26:39,179,108,131,124,535
2021-01-02T20:26:53,179,108,131,124,535
2021-01-02T20:27:07,179,107,131,124,535
